"Name","K","Kin","Kout","TypeI","TypeII","Type"
"XAB2",8,3,5,0,1,"coding"
"RIMS1",6,3,3,0,1,"coding"
"CACNA1C",52,51,1,0,1,"coding"
"REM1",4,2,2,0,1,"coding"
"MPP3",8,7,1,0,1,"coding"
"CALCOCO2",32,24,8,0,1,"coding"
"DAXX",26,20,6,0,1,"coding"
"GABARAPL2",9,8,1,0,1,"coding"
"GPRASP2",20,8,12,0,1,"coding"
"LYST",21,18,3,0,1,"coding"
"TTN",12,5,7,0,1,"coding"
"CALR",63,46,17,0,1,"coding"
"THBS1",83,71,12,0,1,"coding"
"TRAF6",58,24,34,0,1,"coding"
"CAMK1",5,2,3,0,1,"coding"
"KRT18",31,20,11,0,1,"coding"
"CAMLG",20,16,4,0,1,"coding"
"KCNA3",6,4,2,0,1,"coding"
"LBP",5,4,1,0,1,"coding"
"CANX",56,46,10,0,1,"coding"
"EBI3",11,10,1,0,1,"coding"
"CAPNS1",14,9,5,0,1,"coding"
"CAPRIN1",32,31,1,0,1,"coding"
"TRAF1",57,39,18,0,1,"coding"
"TSC22D1",35,31,4,0,1,"coding"
"CASK",34,16,18,0,1,"coding"
"CNTNAP2",12,9,3,0,1,"coding"
"PRKD2",22,18,4,0,1,"coding"
"PLA2G4A",28,19,9,0,1,"coding"
"DSP",15,14,1,0,1,"coding"
"EEF1A1",71,45,26,0,1,"coding"
"EIF2AK2",53,38,15,0,1,"coding"
"PTMA",46,28,18,0,1,"coding"
"STK4",42,41,1,0,1,"coding"
"TOP1",24,22,2,0,1,"coding"
"CASP4",14,6,8,0,1,"coding"
"CLSPN",35,34,1,0,1,"coding"
"RIPK1",15,10,5,0,1,"coding"
"RYBP",60,57,3,0,1,"coding"
"RNF19A",22,14,8,0,1,"coding"
"SUMO4",12,5,7,0,1,"coding"
"ILK",32,23,9,0,1,"coding"
"IRS1",64,47,17,0,1,"coding"
"PTPRF",27,22,5,0,1,"coding"
"DNAJA1",38,32,6,0,1,"coding"
"CD5",18,14,4,0,1,"coding"
"ITCH",23,19,4,0,1,"coding"
"CBX2",49,48,1,0,1,"coding"
"TAF4",30,22,8,0,1,"coding"
"TRIM28",25,23,2,0,1,"coding"
"MCM10",32,22,10,0,1,"coding"
"CCR5",28,18,10,0,1,"coding"
"MMP3",14,10,4,0,1,"coding"
"CCR1",9,7,2,0,1,"coding"
"VCAN",64,52,12,0,1,"coding"
"DPP4",17,9,8,0,1,"coding"
"CCR3",13,5,8,0,1,"coding"
"IL8",11,10,1,0,1,"coding"
"CCL5",22,14,8,0,1,"coding"
"SDC1",19,13,6,0,1,"coding"
"MMP14",33,21,12,0,1,"coding"
"CCNB1",75,61,14,0,1,"coding"
"CDC25C",14,9,5,0,1,"coding"
"GADD45G",34,21,13,0,1,"coding"
"CDK9",31,21,10,0,1,"coding"
"JAK1",73,45,28,0,1,"coding"
"CD4",45,27,18,0,1,"coding"
"PTK2B",50,24,26,0,1,"coding"
"TXK",15,11,4,0,1,"coding"
"PAFAH1B2",47,45,2,0,1,"coding"
"VHL",26,20,6,0,1,"coding"
"ITGB2",32,10,22,0,1,"coding"
"ITGB1",80,48,32,0,1,"coding"
"PTPRC",32,19,13,0,1,"coding"
"CD2",14,8,6,0,1,"coding"
"CD244",7,5,2,0,1,"coding"
"LAT",21,9,12,0,1,"coding"
"CD247",21,5,16,0,1,"coding"
"CSK",29,21,8,0,1,"coding"
"SIVA1",12,10,2,0,1,"coding"
"TRAF2",87,17,70,0,1,"coding"
"TRAF3",19,14,5,0,1,"coding"
"CD28",29,16,13,0,1,"coding"
"GRAP2",45,31,14,0,1,"coding"
"PKD2",26,24,2,0,1,"coding"
"CD3E",16,10,6,0,1,"coding"
"IL16",21,16,5,0,1,"coding"
"GNAI1",48,27,21,0,1,"coding"
"ITGAV",37,27,10,0,1,"coding"
"UBQLN1",33,25,8,0,1,"coding"
"CD48",11,7,4,0,1,"coding"
"IL2",9,7,2,0,1,"coding"
"SDCBP",39,32,7,0,1,"coding"
"HLA-DRA",14,11,3,0,1,"coding"
"CD81",21,16,5,0,1,"coding"
"ITGA4",19,14,5,0,1,"coding"
"HBEGF",30,24,6,0,1,"coding"
"CD8A",12,5,7,0,1,"coding"
"COL4A1",32,26,6,0,1,"coding"
"COL4A3",20,13,7,0,1,"coding"
"MELK",44,43,1,0,1,"coding"
"SAFB",20,14,6,0,1,"coding"
"ITSN1",51,43,8,0,1,"coding"
"CDH2",34,27,7,0,1,"coding"
"GRIN2D",26,17,9,0,1,"coding"
"PKP4",20,19,1,0,1,"coding"
"CDK5RAP1",6,4,2,0,1,"coding"
"CDKN1B",28,19,9,0,1,"coding"
"PAX6",14,9,5,0,1,"coding"
"GATA2",108,12,96,0,1,"coding"
"MYB",148,20,128,0,1,"coding"
"SMARCC1",28,20,8,0,1,"coding"
"TAF9",24,17,7,0,1,"coding"
"FOSL2",130,65,65,0,1,"coding"
"TP53",63,12,51,0,1,"coding"
"SPTBN4",24,19,5,0,1,"coding"
"PIN1",54,36,18,0,1,"coding"
"SNAP25",16,14,2,0,1,"coding"
"NEK2",12,7,5,0,1,"coding"
"CHEK2",41,28,13,0,1,"coding"
"CHFR",14,10,4,0,1,"coding"
"CHGB",9,4,5,0,1,"coding"
"POLR2E",22,18,4,0,1,"coding"
"CHM",9,8,1,0,1,"coding"
"CHMP1B",15,13,2,0,1,"coding"
"CHMP2A",8,6,2,0,1,"coding"
"MAPK8IP2",32,20,12,0,1,"coding"
"GNA15",5,3,2,0,1,"coding"
"WWP1",29,25,4,0,1,"coding"
"GADD45A",35,23,12,0,1,"coding"
"ICAM3",6,4,2,0,1,"coding"
"TYROBP",8,6,2,0,1,"coding"
"GOLM1",19,17,2,0,1,"coding"
"HGS",37,20,17,0,1,"coding"
"CMA1",5,2,3,0,1,"coding"
"CNKSR1",7,5,2,0,1,"coding"
"CNKSR2",23,20,3,0,1,"coding"
"CNOT7",15,12,3,0,1,"coding"
"MET",57,38,19,0,1,"coding"
"LIFR",44,40,4,0,1,"coding"
"HN1L",12,11,1,0,1,"coding"
"CNTN1",19,16,3,0,1,"coding"
"PTPRB",33,29,4,0,1,"coding"
"RTN4",23,13,10,0,1,"coding"
"KCNA2",10,8,2,0,1,"coding"
"COG4",3,2,1,0,1,"coding"
"MAD1L1",9,7,2,0,1,"coding"
"COL13A1",25,20,5,0,1,"coding"
"PPL",20,18,2,0,1,"coding"
"KDR",51,29,22,0,1,"coding"
"IGFBP3",35,27,8,0,1,"coding"
"COL2A1",20,12,8,0,1,"coding"
"PXN",55,30,25,0,1,"coding"
"XRN2",14,9,5,0,1,"coding"
"MAPK14",60,48,12,0,1,"coding"
"TRIM37",40,32,8,0,1,"coding"
"COPS3",11,6,5,0,1,"coding"
"COPS5",17,15,2,0,1,"coding"
"GPS1",19,13,6,0,1,"coding"
"CPE",32,27,5,0,1,"coding"
"RPA1",19,6,13,0,1,"coding"
"NUDT21",33,23,10,0,1,"coding"
"GLI2",44,31,13,0,1,"coding"
"NFIL3",18,17,1,0,1,"coding"
"DACH1",30,24,6,0,1,"coding"
"EBF1",167,31,136,0,1,"coding"
"ETS1",202,60,142,0,1,"coding"
"GATA1",220,7,213,0,1,"coding"
"MAFG",18,14,4,0,1,"coding"
"NCOA6",33,26,7,0,1,"coding"
"NFIC",101,43,58,0,1,"coding"
"PROX1",44,37,7,0,1,"coding"
