No,Predicted_Driver,Degree,In-degree,Out-degree,Number_of_mutated_samples,In_CGC
,,36,29,7,3,
,,19,16,3,3,
,,8,4,4,3,
,,28,26,2,3,
,,49,15,34,3,
,,29,15,14,3,
,,7,6,1,3,
,,44,43,1,3,
,,48,40,8,3,
,,37,27,10,3,
,,25,23,2,3,
,,55,54,1,3,
,,15,11,4,3,
,,17,14,3,3,
,,12,6,6,3,
,,2,1,1,3,
,,50,43,7,3,
,,14,12,2,3,
,,10,8,2,3,
,,52,45,7,3,
,,59,38,21,3,
,,138,109,29,3,
,,45,43,2,3,
,,101,77,24,3,
,,24,14,10,3,
,,34,29,5,3,
,,38,20,18,3,
,,227,118,109,3,
,,24,18,6,3,
,,33,29,4,3,
,,62,46,16,3,
,,15,12,3,3,
,,21,20,1,3,
,,291,33,258,3,
,,13,9,4,3,
,,49,40,9,3,
,,5,3,2,3,
,,15,13,2,3,
,,62,55,7,3,
,,7,5,2,3,
,,28,23,5,3,
,,22,18,4,3,
,,6,3,3,3,
,,20,16,4,3,
,,99,70,29,3,
,,38,30,8,3,
,,18,6,12,3,
,,34,24,10,3,
,,47,28,19,3,
,,316,59,257,3,
,,29,25,4,3,
,,22,21,1,3,
,,10,4,6,3,
,,19,15,4,3,
,,8,4,4,3,
,,61,59,2,3,
,,71,63,8,3,
,,265,33,232,3,
,,29,9,20,3,
,,123,111,12,3,
,,47,41,6,3,
,,53,52,1,3,
,,41,12,29,3,
,,68,57,11,3,
,,45,34,11,3,
,,47,42,5,3,
,,26,10,16,3,
,,31,28,3,3,
,,6,4,2,3,
,,83,70,13,3,
,,45,38,7,3,
,,6,4,2,3,
,,50,31,19,3,
,,11,7,4,3,
,,11,9,2,3,
,,38,35,3,3,
,,48,45,3,3,
,,19,13,6,3,
,,10,8,2,3,
,,12,8,4,3,
,,40,32,8,3,
,,56,50,6,3,
,,12,9,3,3,
,,30,26,4,3,
,,14,13,1,3,
,,21,16,5,3,
,,4,1,3,3,
,,14,10,4,3,
,,28,25,3,3,
,,44,24,20,3,
,,193,18,175,3,
,,12,11,1,3,
,,11,10,1,3,
,,40,36,4,3,
,,58,57,1,3,
,,28,21,7,3,
,,24,15,9,3,
,,27,20,7,3,
,,68,61,7,3,
,,80,69,11,3,
,,24,12,12,3,
,,31,30,1,3,
,,19,13,6,3,
,,27,20,7,3,
,,27,18,9,3,
,,26,15,11,3,
,,83,66,17,3,
,,19,16,3,3,
,,20,14,6,3,
,,12,3,9,3,
,,16,8,8,3,
,,8,3,5,3,
,,37,32,5,3,
,,197,134,63,3,
,,35,4,31,3,
,,33,31,2,3,
,,30,16,14,2,
,,75,44,31,2,
,,83,50,33,2,
,,38,36,2,2,
,,82,61,21,2,
,,41,39,2,2,
,,41,29,12,2,
,,22,20,2,2,
,,40,22,18,2,
,,19,13,6,2,
,,43,39,4,2,
,,15,8,7,2,
,,26,20,6,2,
,,2,1,1,2,
,,37,30,7,2,
,,77,59,18,2,
,,27,25,2,2,
,,28,21,7,2,
,,25,17,8,2,
,,15,5,10,2,
,,25,12,13,2,
,,68,63,5,2,
,,13,8,5,2,
,,9,5,4,2,
,,100,91,9,2,
,,32,24,8,2,
,,3,2,1,2,
,,44,37,7,2,
,,220,54,166,2,
,,24,20,4,2,
,,28,22,6,2,
,,31,25,6,2,
,,25,15,10,2,
,,30,25,5,2,
,,45,38,7,2,
,,24,18,6,2,
,,249,28,221,2,
,,6,5,1,2,
,,27,21,6,2,
,,20,16,4,2,
,,21,17,4,2,
,,18,11,7,2,
,,65,58,7,2,
,,319,6,313,2,
,,25,5,20,2,
,,13,6,7,2,
,,5,1,4,2,
,,33,21,12,2,
,,50,32,18,2,
,,19,9,10,2,
,,34,25,9,2,
,,43,30,13,2,
,,11,7,4,2,
,,32,23,9,2,
,,141,96,45,2,
,,30,22,8,2,
,,20,19,1,2,
,,29,22,7,2,
,,61,59,2,2,
,,34,25,9,2,
,,54,30,24,2,
,,25,22,3,2,
,,27,19,8,2,
,,6,5,1,2,
,,17,11,6,2,
,,4,3,1,2,
,,8,5,3,2,
,,2,1,1,2,
,,16,9,7,2,
,,8,6,2,2,
,,13,10,3,2,
,,39,34,5,2,
,,2,1,1,2,
,,26,21,5,2,
,,74,36,38,2,
,,39,38,1,2,
,,13,9,4,2,
,,19,12,7,2,
,,19,14,5,2,
,,85,72,13,2,
,,70,60,10,2,
,,32,20,12,2,
,,22,19,3,2,
,,24,16,8,2,
,,16,8,8,2,
,,32,16,16,2,
,,16,15,1,2,
,,13,8,5,2,
,,31,29,2,2,
,,35,11,24,2,
,,41,31,10,2,
,,180,49,131,2,
,,96,83,13,2,
,,17,7,10,2,
,,39,37,2,2,
,,66,41,25,2,
,,25,21,4,2,
,,63,56,7,2,
,,21,15,6,2,
,,22,21,1,2,
,,31,27,4,2,
,,49,24,25,2,
,,20,11,9,2,
,,27,25,2,2,
,,65,13,52,2,
,,42,40,2,2,
,,9,5,4,2,
,,43,29,14,2,
,,88,81,7,2,
,,52,35,17,2,
,,81,53,28,2,
,,7,4,3,2,
,,27,19,8,2,
,,16,12,4,2,
,,24,19,5,2,
,,21,19,2,2,
,,14,12,2,2,
,,67,57,10,2,
,,22,15,7,2,
,,13,10,3,2,
,,36,29,7,2,
,,20,9,11,2,
,,29,24,5,2,
,,55,50,5,2,
,,37,32,5,2,
,,41,34,7,2,
,,13,9,4,2,
,,27,19,8,2,
,,35,23,12,2,
,,15,8,7,2,
,,12,6,6,2,
,,22,18,4,2,
,,65,45,20,2,
,,31,27,4,2,
,,20,18,2,2,
,,40,38,2,2,
,,15,9,6,2,
,,42,39,3,2,
,,38,29,9,2,
,,105,73,32,2,
,,11,8,3,2,
,,11,10,1,2,
,,114,81,33,2,
,,11,8,3,2,
,,3,2,1,2,
,,37,35,2,1,
,,49,45,4,1,
,,11,10,1,1,
,,28,23,5,1,
,,59,38,21,1,
,,16,12,4,1,
,,24,21,3,1,
,,71,59,12,1,
,,6,4,2,1,
,,72,62,10,1,
,,20,14,6,1,
,,41,34,7,1,
,,5,2,3,1,
,,127,71,56,1,
,,33,32,1,1,
,,16,13,3,1,
,,11,8,3,1,
,,40,29,11,1,
,,22,18,4,1,
,,73,67,6,1,
,,21,19,2,1,
,,120,101,19,1,
,,23,17,6,1,
,,11,7,4,1,
,,53,51,2,1,
,,94,67,27,1,
,,85,62,23,1,
,,46,29,17,1,
,,23,20,3,1,
,,16,7,9,1,
,,22,18,4,1,
,,76,33,43,1,
,,7,4,3,1,
,,5,1,4,1,
,,47,44,3,1,
,,47,43,4,1,
,,12,7,5,1,
,,46,45,1,1,
,,8,6,2,1,
,,20,9,11,1,
,,29,21,8,1,
,,130,65,65,1,
,,11,9,2,1,
,,95,15,80,1,
,,69,48,21,1,
,,195,22,173,1,
,,34,24,10,1,
,,29,20,9,1,
,,58,43,15,1,
,,38,26,12,1,
,,64,46,18,1,
,,27,24,3,1,
,,13,12,1,1,
,,55,36,19,1,
,,39,29,10,1,
,,45,43,2,1,
,,78,66,12,1,
,,23,11,12,1,
,,19,18,1,1,
,,31,29,2,1,
,,19,15,4,1,
,,34,28,6,1,
,,34,26,8,1,
,,52,45,7,1,
,,4,1,3,1,
,,4,2,2,1,
,,19,18,1,1,
,,61,57,4,1,
,,33,29,4,1,
,,11,4,7,1,
,,22,10,12,1,
,,38,33,5,1,
,,32,29,3,1,
,,20,14,6,1,
,,29,25,4,1,
,,157,127,30,1,
,,9,6,3,1,
,,18,13,5,1,
,,46,41,5,1,
,,29,19,10,1,
,,39,29,10,1,
,,19,14,5,1,
,,23,21,2,1,
,,51,31,20,1,
,,4,2,2,1,
,,13,7,6,1,
,,22,15,7,1,
,,93,77,16,1,
,,11,3,8,1,
,,13,12,1,1,
,,16,7,9,1,
,,15,4,11,1,
,,12,11,1,1,
,,31,29,2,1,
,,27,19,8,1,
,,23,20,3,1,
,,26,21,5,1,
,,11,10,1,1,
,,15,12,3,1,
,,15,13,2,1,
,,58,40,18,1,
,,49,17,32,1,
,,101,53,48,1,
,,4,3,1,1,
,,27,19,8,1,
,,25,24,1,1,
,,10,8,2,1,
,,88,75,13,1,
,,29,23,6,1,
,,40,32,8,1,
,,17,13,4,1,
,,11,9,2,1,
,,34,18,16,1,
,,25,23,2,1,
,,16,12,4,1,
,,73,70,3,1,
,,5,4,1,1,
,,19,14,5,1,
,,25,8,17,1,
,,12,4,8,1,
,,49,42,7,1,
,,117,27,90,1,
,,18,15,3,1,
,,60,46,14,1,
,,20,15,5,1,
,,31,16,15,1,
,,22,18,4,1,
,,10,9,1,1,
,,18,12,6,1,
,,104,49,55,1,
,,189,34,155,1,
,,16,15,1,1,
,,11,9,2,1,
,,49,45,4,1,
,,35,31,4,1,
,,123,89,34,1,
,,19,8,11,1,
,,40,34,6,1,
,,11,9,2,1,
,,30,28,2,1,
,,92,17,75,1,
,,12,10,2,1,
,,31,18,13,1,
,,80,67,13,1,
,,20,16,4,1,
,,54,24,30,1,
,,25,22,3,1,
,,27,21,6,1,
,,233,185,48,1,
,,50,40,10,1,
