"","gene","p","fdr"
"TOP2A","TOP2A",1,1
"MBTD1","MBTD1",1,1
"BRIP1","BRIP1",1,1
"TLK2","TLK2",1,1
"PER1","PER1",1,1
"ZNF750","ZNF750",1,1
"DNM2","DNM2",1,1
"CNN1","CNN1",1,1
"PDE4C","PDE4C",1,1
"ZNF208","ZNF208",1,1
"MAP3K10","MAP3K10",1,1
"CD3EAP","CD3EAP",1,1
"NLRP11","NLRP11",0.00301390166784794,0.0828637825515804
"NLRP8","NLRP8",1,1
"ZRANB3","ZRANB3",0.0317587500452906,0.233423307452086
"AGPS","AGPS",1,1
"SSFA2","SSFA2",1,1
"FAM171B","FAM171B",1,1
"WDR43","WDR43",0.0428580061306687,0.27502059675391
"MSH6","MSH6",1,1
"MEIS1","MEIS1",1,1
"CBFA2T2","CBFA2T2",1,1
"NCOA6","NCOA6",1,1
"CEP250","CEP250",1,1
"PANK2","PANK2",1,1
"RBPJL","RBPJL",1,1
"HAO1","HAO1",1,1
"BID","BID",1,1
"UFD1L","UFD1L",1,1
"ACO2","ACO2",0.00324073459447136,0.0855430354491349
"WDR52","WDR52",0.00273647990466473,0.079922016162993
"STXBP5L","STXBP5L",1,1
"HEG1","HEG1",1,1
"ACAD11","ACAD11",1,1
"FXR1","FXR1",0.000313544609193606,0.0303113434650015
"IL1RAP","IL1RAP",1,1
"EPM2AIP1","EPM2AIP1",1,1
"WDR82","WDR82",1,1
"DCP1A","DCP1A",0.0481870838962217,0.294113466237342
"APPL1","APPL1",1,1
"SEC24D","SEC24D",1,1
"OCIAD1","OCIAD1",1,1
"SH3TC2","SH3TC2",1,1
"ABLIM3","ABLIM3",1,1
"DDX41","DDX41",1,1
"ITGA1","ITGA1",1,1
"HIST1H1D","HIST1H1D",0.0448571908264053,0.282068975176472
"TRIM10","TRIM10",1,1
"MDC1","MDC1",0.0367363988502199,0.250139413911084
"BRPF3","BRPF3",0.00119419500754084,0.0556081232049243
"MTO1","MTO1",1,1
"ZNRF2","ZNRF2",1,1
"SAMD9","SAMD9",1,1
"FAM83A","FAM83A",0.02680218234892,0.209478558992322
"S1PR3","S1PR3",1,1
"BTK","BTK",0.000838759720007238,0.0454089510205545
"GAB3","GAB3",0.0238418566423712,0.196488766561324
"KDM5C","KDM5C",1,1
