"","gene","p","fdr"
"NOL10","NOL10",1,1
"SCAMP3","SCAMP3",1,1
"NUCKS1","NUCKS1",1,1
"WDR63","WDR63",1,1
"DIS3","DIS3",1,1
"CLASRP","CLASRP",1,1
"DUS3L","DUS3L",1,1
"IL18R1","IL18R1",1,1
"RUVBL1","RUVBL1",1,1
"KIF15","KIF15",1,1
"THBS2","THBS2",1,1
"ZNF516","ZNF516",1,1
"RHOA","RHOA",1,1
"DAPK1","DAPK1",1,1
"SLC16A2","SLC16A2",1,1
"UFC1","UFC1",1,1
"KRT71","KRT71",0.00711644181659064,0.112405268323467
"MAPK3","MAPK3",1,1
"DDX49","DDX49",1,1
"ZBTB22","ZBTB22",1,1
"PCK2","PCK2",1,1
"MED24","MED24",1,1
"SP140","SP140",1,1
"RB1CC1","RB1CC1",1,1
"POLL","POLL",1,1
"RELA","RELA",1,1
"ADCY6","ADCY6",1,1
"VAPA","VAPA",1,1
"MYL1","MYL1",1,1
"MTF1","MTF1",1,1
"TRPC4","TRPC4",1,1
"ZNF98","ZNF98",1,1
"UXS1","UXS1",1,1
"RGL4","RGL4",1,1
"CD36","CD36",1,1
"TMOD1","TMOD1",1,1
"RAVER1","RAVER1",1,1
"DOCK6","DOCK6",1,1
"ZSCAN21","ZSCAN21",1,1
"XK","XK",1,1
"RBM15","RBM15",1,1
"KIF5B","KIF5B",1,1
"CCT2","CCT2",1,1
"MARK3","MARK3",1,1
"NOL4","NOL4",1,1
"PHLPP1","PHLPP1",1,1
"RASAL3","RASAL3",1,1
"CUL3","CUL3",1,1
"ATG7","ATG7",0.0121827257536143,0.142966786138598
"ERGIC1","ERGIC1",0.00925708151303489,0.124531122818786
"ZCCHC12","ZCCHC12",1,1
"SNAPC1","SNAPC1",1,1
"LRRC8D","LRRC8D",1,1
"POTEE","POTEE",1,1
"SLC1A3","SLC1A3",1,1
"POU3F2","POU3F2",1,1
"USF1","USF1",1,1
"C3AR1","C3AR1",1,1
"PDE8A","PDE8A",1,1
"FOXN2","FOXN2",1,1
"CPXM1","CPXM1",1,1
"ZNF354B","ZNF354B",1,1
"XPNPEP2","XPNPEP2",1,1
"NGEF","NGEF",1,1
"DDX17","DDX17",0.000415024311353876,0.0334345008773895
"STARD9","STARD9",1,1
"PITPNC1","PITPNC1",1,1
"GULP1","GULP1",1,1
"SCUBE1","SCUBE1",1,1
"GAP43","GAP43",1,1
"DYRK3","DYRK3",1,1
"KCNA4","KCNA4",1,1
"METTL9","METTL9",1,1
"ZNF513","ZNF513",1,1
"PI3","PI3",1,1
"CDC45","CDC45",1,1
"GLRA2","GLRA2",1,1
"ABI1","ABI1",1,1
"NOC3L","NOC3L",1,1
"DGKA","DGKA",1,1
"ALDH1A1","ALDH1A1",1,1
"MAGEB4","MAGEB4",1,1
"ELK1","ELK1",1,1
"FEM1B","FEM1B",1,1
"VEZF1","VEZF1",1,1
"L3MBTL1","L3MBTL1",1,1
"ARHGAP24","ARHGAP24",1,1
"SULF2","SULF2",1,1
"PDE6B","PDE6B",1,1
"SSBP3","SSBP3",1,1
"CAMTA1","CAMTA1",1,1
"MGMT","MGMT",1,1
"MTA2","MTA2",1,1
"CCDC62","CCDC62",1,1
"EIF3K","EIF3K",0.0147940591102561,0.153209392869667
"FSIP2","FSIP2",1,1
"UBP1","UBP1",1,1
"GSTA1","GSTA1",1,1
"ORC3","ORC3",1,1
"TXN","TXN",0.0105752487689098,0.132359607485603
"ATG4A","ATG4A",1,1
"CIRH1A","CIRH1A",1,1
"DNASE1L3","DNASE1L3",1,1
"SPACA1","SPACA1",1,1
"GNB1","GNB1",1,1
"OPTN","OPTN",1,1
"BMP2K","BMP2K",1,1
"FNDC3B","FNDC3B",1,1
"LZIC","LZIC",1,1
"TTC40","TTC40",1,1
"A1CF","A1CF",1,1
"OPALIN","OPALIN",1,1
"MON2","MON2",1,1
"APAF1","APAF1",1,1
"ARMC7","ARMC7",1,1
"GLT25D1","GLT25D1",1,1
"ZNF83","ZNF83",1,1
"ZNF28","ZNF28",1,1
"BUB1","BUB1",1,1
"NOP58","NOP58",1,1
"DNPEP","DNPEP",0.00609364311444373,0.108206853027481
"ZNF638","ZNF638",1,1
"INPP4A","INPP4A",1,1
"EIF2S2","EIF2S2",0.00504384360848478,0.103149809314564
"KPNA4","KPNA4",1,1
"GLB1","GLB1",1,1
"CTDSPL","CTDSPL",1,1
"SMARCC1","SMARCC1",1,1
"KDM3B","KDM3B",0.00447008670918325,0.0963310918979005
"TNIP1","TNIP1",1,1
"SNCB","SNCB",1,1
"OXCT1","OXCT1",1,1
"RIPK1","RIPK1",1,1
"POLH","POLH",1,1
"PHIP","PHIP",1,1
"TTC26","TTC26",1,1
"HNRNPA2B1","HNRNPA2B1",1,1
"LRRC6","LRRC6",1,1
"RDH11","RDH11",1,1
"SHCBP1","SHCBP1",0.0211955421040739,0.185911119166818
"CTSB","CTSB",1,1
"SPATA22","SPATA22",1,1
"ZNF420","ZNF420",1,1
"ABCB11","ABCB11",1,1
"POC5","POC5",1,1
"NR4A3","NR4A3",1,1
"GPKOW","GPKOW",1,1
"FAM63A","FAM63A",1,1
"TTC9C","TTC9C",0.0331873555626616,0.237321771710852
"RAD51","RAD51",1,1
"PID1","PID1",1,1
"CNOT8","CNOT8",1,1
"IFNB1","IFNB1",1,1
"PORCN","PORCN",1,1
"RPS4X","RPS4X",1,1
"SPSB3","SPSB3",1,1
"ATXN2L","ATXN2L",0.000186042163485696,0.0237012639273006
"PCDHB6","PCDHB6",1,1
"RBM8A","RBM8A",1,1
"PKLR","PKLR",1,1
"GORAB","GORAB",1,1
"OSBPL7","OSBPL7",1,1
"REG1A","REG1A",1,1
"CDH18","CDH18",1,1
"RICTOR","RICTOR",3.62690981214991e-05,0.010459378454682
"MMP16","MMP16",1,1
"SLC9A7","SLC9A7",1,1
"KIAA1324","KIAA1324",1,1
"HELB","HELB",1,1
"TFDP1","TFDP1",1,1
"ERCC4","ERCC4",1,1
"ARHGAP27","ARHGAP27",1,1
"ELK3","ELK3",0.00669657913786313,0.111765509805941
"ZKSCAN1","ZKSCAN1",1,1
"EED","EED",1,1
"EFTUD2","EFTUD2",1,1
"HLCS","HLCS",1,1
"CHCHD6","CHCHD6",1,1
"APBB3","APBB3",1,1
"PRKAG2","PRKAG2",1,1
"MMACHC","MMACHC",1,1
"PPARGC1B","PPARGC1B",1,1
"BTBD10","BTBD10",1,1
"AP2A2","AP2A2",1,1
"KRT72","KRT72",1,1
"NBR1","NBR1",1,1
"BCAS3","BCAS3",1,1
"ZNF570","ZNF570",1,1
"TFPT","TFPT",0.00441781627996362,0.0958248814601881
"RFTN2","RFTN2",1,1
"ZFP36L2","ZFP36L2",0.00231777824544232,0.0779499259414164
"RALGAPA2","RALGAPA2",1,1
"CSNK2A1","CSNK2A1",1,1
"MED12L","MED12L",1,1
"XRCC4","XRCC4",1,1
"FIGNL1","FIGNL1",1,1
"RLN2","RLN2",1,1
"UBA1","UBA1",0.0209741896358002,0.185911119166818
"RCOR3","RCOR3",1,1
"NDUFV1","NDUFV1",1,1
"MSI1","MSI1",0.0213678050899158,0.185997665482025
"WDHD1","WDHD1",1,1
"EDC3","EDC3",0.0192167805389884,0.177728530012672
"AXIN1","AXIN1",0.00806572797486817,0.11830326560495
"ADAM11","ADAM11",1,1
"ESCO1","ESCO1",1,1
"ALPP","ALPP",1,1
"ALPPL2","ALPPL2",1,1
"TRPM2","TRPM2",1,1
"LXN","LXN",1,1
"LIMK1","LIMK1",1,1
"RAD23B","RAD23B",1,1
"ANXA11","ANXA11",1,1
"ZNF257","ZNF257",1,1
"CEACAM3","CEACAM3",1,1
"POLR1B","POLR1B",1,1
"XPO1","XPO1",1,1
"EMC1","EMC1",1,1
"KLHL35","KLHL35",1,1
"SPRED1","SPRED1",1,1
"MAPKAPK3","MAPKAPK3",1,1
"CAMK1","CAMK1",1,1
"CAMKK2","CAMKK2",0.00964232827266136,0.12614591283704
"GRK6","GRK6",1,1
"GLCCI1","GLCCI1",0.00846860897642015,0.119992295253155
"NEXN","NEXN",1,1
"NUP98","NUP98",1,1
"COG3","COG3",1,1
"MIA2","MIA2",1,1
"LIMS2","LIMS2",0.00840391448402241,0.11998177846355
"EEF1B2","EEF1B2",1,1
"APLF","APLF",1,1
"HP1BP3","HP1BP3",1,1
"CPNE8","CPNE8",1,1
"MYO15A","MYO15A",1,1
"CEP97","CEP97",1,1
"CPNE3","CPNE3",1,1
"RCOR2","RCOR2",0.00707429379991737,0.112405268323467
"ACYP1","ACYP1",0.0122730659173005,0.143003060423623
"NEK9","NEK9",0.000594120991933488,0.0403699151559703
"PLIN1","PLIN1",1,1
"APOBEC3G","APOBEC3G",0.00722395160110061,0.112405268323467
"ZNF391","ZNF391",1,1
"NEK6","NEK6",0.0433070862211029,0.277290276102235
"ROR2","ROR2",1,1
"SLAMF7","SLAMF7",1,1
"MARK2","MARK2",1,1
"ALDH3B2","ALDH3B2",1,1
"AIPL1","AIPL1",1,1
"CASKIN2","CASKIN2",1,1
"SPIRE1","SPIRE1",1,1
"ZFP28","ZFP28",1,1
"EDAR","EDAR",1,1
"DNAJC10","DNAJC10",1,1
"ZBTB20","ZBTB20",1,1
"LMNB1","LMNB1",1,1
"DAAM2","DAAM2",1,1
"POGK","POGK",1,1
"TOB1","TOB1",1,1
"ST6GALNAC4","ST6GALNAC4",0.00262578397540507,0.079073919234524
"SPIN1","SPIN1",0.0391012447076754,0.258052728990288
"TAOK3","TAOK3",1,1
"PLEKHG4","PLEKHG4",1,1
"GIT1","GIT1",1,1
"RAF1","RAF1",1,1
"ROBO4","ROBO4",1,1
"PDHX","PDHX",1,1
"LIPC","LIPC",1,1
"CCDC88A","CCDC88A",1,1
"RTKN","RTKN",1,1
"SHC1","SHC1",0.00184646165865893,0.0683088232500546
"TNN","TNN",1,1
"SIRT1","SIRT1",1,1
"KIAA0391","KIAA0391",1,1
"FAM98B","FAM98B",1,1
"FAM192A","FAM192A",1,1
"NRBP1","NRBP1",1,1
"DNAJC5","DNAJC5",1,1
"EIF4G1","EIF4G1",1,1
"MON1A","MON1A",1,1
"CCDC111","CCDC111",1,1
"SMARCD3","SMARCD3",1,1
"CEP78","CEP78",1,1
"ACAP3","ACAP3",1,1
"SLAMF6","SLAMF6",1,1
"LZTS2","LZTS2",1,1
"STAMBPL1","STAMBPL1",1,1
"STRAP","STRAP",0.00132972945567145,0.0575882986127064
"PLEKHA5","PLEKHA5",1,1
"RECQL","RECQL",1,1
"MAB21L1","MAB21L1",1,1
"PPP1R36","PPP1R36",1,1
"LTK","LTK",1,1
"NEO1","NEO1",1,1
"PHF12","PHF12",1,1
"ACOX1","ACOX1",0.0192108722749935,0.177728530012672
"NEU4","NEU4",1,1
"NANP","NANP",1,1
"SON","SON",1,1
"ZC3H7B","ZC3H7B",1,1
"ATP2B2","ATP2B2",1,1
"ALCAM","ALCAM",1,1
"MUC13","MUC13",1,1
"SEC62","SEC62",1,1
"PRKAA1","PRKAA1",1,1
"SKIV2L2","SKIV2L2",1,1
"BMP5","BMP5",1,1
"NDUFB9","NDUFB9",0.0139785545512938,0.15031699965884
"TMEM245","TMEM245",1,1
"USP11","USP11",1,1
"YEATS4","YEATS4",1,1
"TRMT5","TRMT5",1,1
"RORA","RORA",1,1
"SLC5A7","SLC5A7",1,1
"RAPH1","RAPH1",0.00251917814482457,0.0783989027938248
"CPSF3","CPSF3",1,1
"ABCE1","ABCE1",1,1
"AVPR2","AVPR2",1,1
"POLR3B","POLR3B",1,1
"NFE2","NFE2",1,1
"ARHGEF7","ARHGEF7",1,1
"PLEKHM1","PLEKHM1",1,1
"CDH7","CDH7",1,1
"TTI1","TTI1",1,1
"UTP15","UTP15",1,1
"CDK5","CDK5",0.00254528230799201,0.0783989027938248
"PLA2G4E","PLA2G4E",1,1
"ITLN1","ITLN1",1,1
"ACTA1","ACTA1",1,1
"SYT14","SYT14",1,1
"ZNF695","ZNF695",1,1
"SRSF2","SRSF2",1,1
"PDCL3","PDCL3",1,1
"HOXD8","HOXD8",1,1
"ERAP1","ERAP1",1,1
"ENTPD4","ENTPD4",1,1
"BRCC3","BRCC3",1,1
"ENO1","ENO1",0.00607794852671927,0.108206853027481
"H2AFY2","H2AFY2",1,1
"THOP1","THOP1",1,1
"NACAD","NACAD",1,1
"PGRMC1","PGRMC1",1,1
"CNGA2","CNGA2",1,1
"HBB","HBB",0.0366931425719164,0.250139413911084
"KIAA1467","KIAA1467",1,1
"ACTN1","ACTN1",1,1
"TRIP10","TRIP10",1,1
"FAM168B","FAM168B",1,1
"IL12B","IL12B",1,1
"PAPD4","PAPD4",0.0229072084826769,0.190861497838038
"RGS3","RGS3",1,1
"SLC26A4","SLC26A4",1,1
"PINX1","PINX1",1,1
"ANKRD24","ANKRD24",1,1
"TROVE2","TROVE2",1,1
"BATF3","BATF3",1,1
"OR52E8","OR52E8",1,1
"NUFIP2","NUFIP2",1,1
"ZNF284","ZNF284",1,1
"ILF2","ILF2",1,1
"PRPF19","PRPF19",0.0199518735035994,0.180522050438242
"BTNL8","BTNL8",1,1
"RASGRF2","RASGRF2",1,1
"GPANK1","GPANK1",1,1
"LRRC47","LRRC47",1,1
"C1RL","C1RL",1,1
"DUS2L","DUS2L",1,1
"TMEM106A","TMEM106A",1,1
"TCOF1","TCOF1",1,1
"INTS10","INTS10",1,1
"SLC25A24","SLC25A24",1,1
"TIAL1","TIAL1",1,1
"PPME1","PPME1",1,1
"TMEM233","TMEM233",1,1
"CAPN3","CAPN3",0.0162026858676958,0.16031751956635
"VTN","VTN",1,1
"AP2B1","AP2B1",1,1
"PTRF","PTRF",1,1
"TMC8","TMC8",1,1
"STX8","STX8",1,1
"ADNP2","ADNP2",1,1
"NFIC","NFIC",0.0056980056379275,0.107382398236499
"DMKN","DMKN",1,1
"ZNF829","ZNF829",1,1
"ARMC9","ARMC9",1,1
"CHRND","CHRND",1,1
"RHO","RHO",1,1
"FOXP1","FOXP1",1,1
"NR3C1","NR3C1",1,1
"IL7R","IL7R",1,1
"RFX5","RFX5",1,1
"TFAP2E","TFAP2E",0.00112684104894944,0.0535973941177606
"TCF7L2","TCF7L2",1,1
"BCCIP","BCCIP",0.0277573718595624,0.213726412920234
"CHORDC1","CHORDC1",1,1
"KPNA3","KPNA3",1,1
"DDX5","DDX5",1,1
"SLC40A1","SLC40A1",1,1
"GART","GART",1,1
"OXSR1","OXSR1",1,1
"MST1R","MST1R",1,1
"TACC3","TACC3",1,1
"SMARCAD1","SMARCAD1",0.0115606935234783,0.137714952008662
"TAF3","TAF3",1,1
"PIK3C2A","PIK3C2A",1,1
"PTHLH","PTHLH",1,1
"RASGRP3","RASGRP3",1,1
"NAA11","NAA11",1,1
"MUC1","MUC1",1,1
"RGPD8","RGPD8",1,1
"TNK2","TNK2",1,1
"ZBTB33","ZBTB33",1,1
"RPLP0","RPLP0",0.0101193011405142,0.130085765047653
"PPP2R2A","PPP2R2A",1,1
"RGS16","RGS16",0.00723017184010938,0.112405268323467
"ZSCAN29","ZSCAN29",1,1
"GADD45GIP1","GADD45GIP1",1,1
"UGT3A1","UGT3A1",1,1
"IKZF3","IKZF3",1,1
"PPP3R1","PPP3R1",1,1
"MAGEA4","MAGEA4",1,1
"STAT2","STAT2",1,1
"ZNF598","ZNF598",1,1
"CD28","CD28",1,1
"PLXNB2","PLXNB2",1,1
"SLC43A1","SLC43A1",1,1
"DUS1L","DUS1L",1,1
"ZBTB7C","ZBTB7C",1,1
"SULT6B1","SULT6B1",1,1
"ARVCF","ARVCF",1,1
"IRF1","IRF1",1,1
"NADKD1","NADKD1",1,1
"KIAA1244","KIAA1244",1,1
"SOLH","SOLH",1,1
"ZNF24","ZNF24",1,1
"SSTR3","SSTR3",1,1
"VPS52","VPS52",1,1
"CNPY2","CNPY2",1,1
"HIRIP3","HIRIP3",0.0423588654249248,0.272792731977345
"TARSL2","TARSL2",1,1
"GDF2","GDF2",1,1
"ZNF224","ZNF224",1,1
"PPIL4","PPIL4",1,1
"NEFH","NEFH",1,1
"PLOD2","PLOD2",1,1
"OXSM","OXSM",1,1
"SLC17A5","SLC17A5",1,1
"ZNF282","ZNF282",0.0144571977549067,0.152086075249837
"CD46","CD46",1,1
"ZNF691","ZNF691",1,1
"USH1C","USH1C",1,1
"PRMT1","PRMT1",0.00380786201617229,0.0886592768031163
"GRB14","GRB14",1,1
"CAND2","CAND2",1,1
"PTTG1","PTTG1",1,1
"INHBA","INHBA",1,1
"GRID2IP","GRID2IP",1,1
"FAM127C","FAM127C",1,1
"RUFY2","RUFY2",1,1
"RTN3","RTN3",1,1
"FOLH1B","FOLH1B",1,1
"ENPEP","ENPEP",1,1
"HUS1","HUS1",1,1
"RP2","RP2",1,1
"PIP5K1A","PIP5K1A",1,1
"IL12RB2","IL12RB2",1,1
"MS4A1","MS4A1",1,1
"NUP93","NUP93",1,1
"SPAG9","SPAG9",1,1
"TMC6","TMC6",1,1
"ELMOD3","ELMOD3",1,1
"CMTM7","CMTM7",1,1
"GOPC","GOPC",1,1
"EPM2A","EPM2A",1,1
"ZNF367","ZNF367",1,1
"SLC38A5","SLC38A5",1,1
"CREB3L4","CREB3L4",1,1
"SCGB2A1","SCGB2A1",1,1
"BCL2L14","BCL2L14",1,1
"BRD1","BRD1",1,1
"IGSF3","IGSF3",1,1
"MEAF6","MEAF6",1,1
"KCNJ1","KCNJ1",0.00832365715691431,0.119972365817949
"EIF1AD","EIF1AD",1,1
"SMARCC2","SMARCC2",0.0352392402555287,0.244945825533993
"FAM96A","FAM96A",1,1
"AGXT","AGXT",1,1
"PLA2G6","PLA2G6",1,1
"FAM65B","FAM65B",1,1
"CLCNKA","CLCNKA",1,1
"PTPN11","PTPN11",1,1
"TENC1","TENC1",1,1
"DDX24","DDX24",1,1
"SLC4A1","SLC4A1",1,1
"LIME1","LIME1",0.00709530768487276,0.112405268323467
"PDHA2","PDHA2",0.0127799550411588,0.145473026699276
"HIST1H3D","HIST1H3D",1,1
"CDH17","CDH17",1,1
"PTPRJ","PTPRJ",1,1
"PITPNM2","PITPNM2",1,1
"WBP4","WBP4",1,1
"CRHR1","CRHR1",1,1
"TMX4","TMX4",1,1
"PPAT","PPAT",1,1
"ENG","ENG",1,1
"NCOA7","NCOA7",1,1
"EPHA1","EPHA1",1,1
"FLVCR1","FLVCR1",1,1
"AIP","AIP",0.00914624853160068,0.123790384089286
"CDH4","CDH4",1,1
"GAGE2B","GAGE2B",1,1
"OR4C12","OR4C12",0.0299999998600475,0.225200211411826
"RNASE3","RNASE3",1,1
"BTBD7","BTBD7",0.00188669677967009,0.0688028804524504
"FUK","FUK",1,1
"CHERP","CHERP",1,1
"CHRNA4","CHRNA4",1,1
"CRELD2","CRELD2",1,1
"SACM1L","SACM1L",1,1
"RASA1","RASA1",1,1
"BTN2A2","BTN2A2",1,1
"AVL9","AVL9",1,1
"GRB10","GRB10",1,1
"TBL2","TBL2",1,1
"SLC25A32","SLC25A32",1,1
"MTMR9","MTMR9",1,1
"ADRBK1","ADRBK1",1,1
"PAPD5","PAPD5",1,1
"ATP5A1","ATP5A1",1,1
"HOOK2","HOOK2",1,1
"MATK","MATK",1,1
"ZNF611","ZNF611",1,1
"DTD1","DTD1",1,1
"GGA1","GGA1",1,1
"EIF3L","EIF3L",1,1
"XRCC6","XRCC6",1,1
"GPSM3","GPSM3",0.0151515149638525,0.154520010799496
"PHF14","PHF14",0.022581236415696,0.189380923541713
"PMPCA","PMPCA",1,1
"UBAP1","UBAP1",1,1
"CSDE1","CSDE1",1,1
"ORC1","ORC1",1,1
"SLC45A1","SLC45A1",1,1
"CDC123","CDC123",1,1
"METTL10","METTL10",1,1
"VIM","VIM",1,1
"FAS","FAS",0.00825267235949638,0.119966662630115
"GLT8D2","GLT8D2",1,1
"NDRG2","NDRG2",1,1
"NOP9","NOP9",1,1
"GLYR1","GLYR1",1,1
"CMIP","CMIP",1,1
"PLSCR3","PLSCR3",1,1
"TSEN34","TSEN34",1,1
"OR7G3","OR7G3",1,1
"VRK2","VRK2",1,1
"DNTTIP1","DNTTIP1",1,1
"SPECC1L","SPECC1L",1,1
"MSL2","MSL2",1,1
"OSBPL10","OSBPL10",1,1
"AMD1","AMD1",1,1
"DNAJC2","DNAJC2",1,1
"ANKRD18A","ANKRD18A",1,1
"HTATSF1","HTATSF1",1,1
"SSX3","SSX3",1,1
"ZBTB40","ZBTB40",1,1
"CCDC82","CCDC82",1,1
"CCNT1","CCNT1",1,1
"LLGL1","LLGL1",1,1
"AKAP1","AKAP1",1,1
"RANBP3","RANBP3",1,1
"DBN1","DBN1",1,1
"RPL3L","RPL3L",1,1
"CD84","CD84",0.0407478664061001,0.266035344540417
"HIST3H3","HIST3H3",0.0181002936966837,0.170480701168624
"PRPF38A","PRPF38A",1,1
"ITIH3","ITIH3",1,1
"ZER1","ZER1",1,1
"ZNF202","ZNF202",1,1
"RPH3A","RPH3A",1,1
"COL5A1","COL5A1",1,1
"SH3KBP1","SH3KBP1",1,1
"DHRS4","DHRS4",1,1
"AGAP1","AGAP1",1,1
"IMMT","IMMT",0.00709495176202122,0.112405268323467
"CD83","CD83",1,1
"CRKL","CRKL",1,1
"MAGI1","MAGI1",1,1
"HIST1H3C","HIST1H3C",0.0220469287566504,0.187258289018539
"KIFC2","KIFC2",1,1
"PSIP1","PSIP1",1,1
"SSX2IP","SSX2IP",1,1
"PCSK7","PCSK7",1,1
"NTHL1","NTHL1",0.00899160067606603,0.122443903684916
"PNPLA6","PNPLA6",1,1
"FOSL2","FOSL2",1,1
"WDR54","WDR54",1,1
"GAS6","GAS6",1,1
"EARS2","EARS2",1,1
"BPTF","BPTF",1,1
"WIPI2","WIPI2",1,1
"TEAD4","TEAD4",1,1
"SULT1A2","SULT1A2",1,1
"DMWD","DMWD",1,1
"MBD4","MBD4",1,1
"FBXL5","FBXL5",1,1
"PRSS37","PRSS37",1,1
"UBE2Q1","UBE2Q1",0.0127388532694586,0.145253465618707
"RAG2","RAG2",0.0493607342459827,0.299398394665743
"CELF1","CELF1",1,1
"RIC8B","RIC8B",1,1
"TTC9","TTC9",1,1
"DNAL1","DNAL1",1,1
"TSEN2","TSEN2",1,1
"RFC4","RFC4",1,1
"TEK","TEK",1,1
"SLC10A3","SLC10A3",1,1
"EIF3G","EIF3G",0.00134237669316324,0.0576702348372518
"HNRNPH1","HNRNPH1",1,1
"GARS","GARS",1,1
"ATP6V1H","ATP6V1H",1,1
"KNDC1","KNDC1",1,1
"SLC2A14","SLC2A14",1,1
"COX5A","COX5A",1,1
"UQCRC2","UQCRC2",1,1
"MCM6","MCM6",1,1
"TWISTNB","TWISTNB",1,1
"EPRS","EPRS",0.0095410909918509,0.12614591283704
"PTPRM","PTPRM",1,1
"FASTK","FASTK",1,1
"NTNG2","NTNG2",1,1
"GPM6B","GPM6B",1,1
"CHSY1","CHSY1",1,1
"TBC1D17","TBC1D17",1,1
"MLH1","MLH1",1,1
"PDE1C","PDE1C",0.00516972049248991,0.103149809314564
"FAM133B","FAM133B",0.0257934311880294,0.206192626988101
"GRAMD1B","GRAMD1B",1,1
"KIF26A","KIF26A",1,1
"FERMT2","FERMT2",1,1
"CACTIN","CACTIN",1,1
"RBL1","RBL1",0.0122099776730354,0.142966786138598
"EDNRA","EDNRA",1,1
"KRT33A","KRT33A",1,1
"NOP14","NOP14",0.00176714612235798,0.0672424344501817
"DUSP10","DUSP10",1,1
"AHSA1","AHSA1",0.0361686022203408,0.2482955898817
"FOXN3","FOXN3",0.00109441835149761,0.05308758757445
"VPS33B","VPS33B",1,1
"ARHGEF16","ARHGEF16",1,1
"LAMP1","LAMP1",1,1
"AQR","AQR",1,1
"ITGAM","ITGAM",1,1
"CYB561","CYB561",1,1
"ASF1B","ASF1B",1,1
"ZNF607","ZNF607",1,1
"NCAPH2","NCAPH2",1,1
"SPATA16","SPATA16",1,1
"CDCP1","CDCP1",1,1
"GRIA2","GRIA2",1,1
"CPNE5","CPNE5",1,1
"GSDMC","GSDMC",1,1
"CDK11A","CDK11A",1,1
"BCL10","BCL10",0.0257934310298534,0.206192626988101
"KRT78","KRT78",1,1
"GNAO1","GNAO1",1,1
"HEATR5B","HEATR5B",1,1
"BASP1","BASP1",1,1
"IRF6","IRF6",1,1
"MCM7","MCM7",0.0177006904432139,0.167427411450798
"ARMC6","ARMC6",1,1
"CIC","CIC",0.0140675432515313,0.15031699965884
"TMEM200A","TMEM200A",0.00350231508391931,0.0878029043702796
"NARF","NARF",1,1
"DSC1","DSC1",1,1
"UTP23","UTP23",1,1
"MRPL9","MRPL9",1,1
"PHC2","PHC2",0.00517375526521464,0.103149809314564
"TM2D3","TM2D3",1,1
"PTPRA","PTPRA",1,1
"ZGPAT","ZGPAT",0.00756601263357759,0.113729295997727
"YWHAZ","YWHAZ",1,1
"RAB11FIP1","RAB11FIP1",0.0354175053500461,0.245322854554965
"CDC14B","CDC14B",1,1
"MTMR1","MTMR1",1,1
"APBB1","APBB1",1,1
"LILRB1","LILRB1",0.00615720762977174,0.109044802145346
"DLX2","DLX2",1,1
"DOK1","DOK1",1,1
"LTV1","LTV1",1,1
"GNB2","GNB2",1,1
"KCND3","KCND3",1,1
"PIK3CD","PIK3CD",1,1
"ACIN1","ACIN1",0.000883401122089565,0.0466870481904318
"UNC13D","UNC13D",1,1
"FN3K","FN3K",1,1
"ZNF85","ZNF85",1,1
"TLR3","TLR3",1,1
"TAF9","TAF9",0.0144925866941323,0.152217878227487
"SH3GLB1","SH3GLB1",1,1
"ZNF248","ZNF248",0.00954833791668209,0.12614591283704
"MAPK8IP1","MAPK8IP1",1,1
"FOXM1","FOXM1",1,1
"STAG3","STAG3",1,1
"CA14","CA14",1,1
"NES","NES",1,1
"CLCA4","CLCA4",1,1
"CALML5","CALML5",1,1
"COPB1","COPB1",1,1
"KRT74","KRT74",1,1
"TNFRSF1A","TNFRSF1A",1,1
"TBC1D15","TBC1D15",1,1
"DACT1","DACT1",1,1
"RHOJ","RHOJ",1,1
"EPX","EPX",1,1
"TCF3","TCF3",1,1
"SLC39A10","SLC39A10",1,1
"MAP4K3","MAP4K3",1,1
"ZNF2","ZNF2",1,1
"ANAPC10","ANAPC10",0.0325070269948532,0.235400543020583
"SMURF1","SMURF1",1,1
"BTRC","BTRC",1,1
"ANO6","ANO6",1,1
"SAMD14","SAMD14",1,1
"ACAP1","ACAP1",1,1
"ZAK","ZAK",0.00581155585096736,0.107382398236499
"ADRB2","ADRB2",1,1
"SREK1","SREK1",1,1
"LRRC1","LRRC1",1,1
"IBTK","IBTK",0.00527214451064458,0.104175698208849
"NCS1","NCS1",1,1
"RALGDS","RALGDS",1,1
"NOXA1","NOXA1",1,1
"TJP2","TJP2",0.00625497775565802,0.109610254934018
"FGF13","FGF13",1,1
"GBA","GBA",1,1
"PANK1","PANK1",1,1
"RIPK3","RIPK3",1,1
"FOXA3","FOXA3",1,1
"SIGLEC7","SIGLEC7",0.00704299568484305,0.112405268323467
"RABL2B","RABL2B",0.00628930826896844,0.109634826604871
"EXOC2","EXOC2",1,1
"SLC6A15","SLC6A15",1,1
"MCF2L","MCF2L",1,1
"LGALS9","LGALS9",1,1
"UIMC1","UIMC1",0.01463025516505,0.152461454059574
"ADAMTSL4","ADAMTSL4",1,1
"CERS2","CERS2",1,1
"PRG4","PRG4",0.00146256571477066,0.0610797054159963
"KLHDC7A","KLHDC7A",1,1
"SCMH1","SCMH1",1,1
"DNTTIP2","DNTTIP2",1,1
"WT1","WT1",1,1
"SLC43A3","SLC43A3",1,1
"ANO1","ANO1",1,1
"RNF17","RNF17",1,1
"TTC23","TTC23",1,1
"ZNF519","ZNF519",1,1
"SLC25A1","SLC25A1",1,1
"ADORA2A","ADORA2A",1,1
