"Name","K","Kin","Kout","TypeI","TypeII"
"EVL",11,8,3,0,1
"TNF",13,12,1,0,1
"INPP5D",16,8,8,0,1
"FES",17,11,6,0,1
"HNRNPK",56,46,10,0,1
"PPP1R8",19,14,5,0,1
"CSNK2A2",31,21,10,0,1
"LYST",25,22,3,0,1
"RPL5",21,20,1,0,1
"POLR2B",24,23,1,0,1
"SNRNP70",21,16,5,0,1
"CTGF",48,46,2,0,1
"NOV",14,10,4,0,1
"IKBKB",18,15,3,0,1
"RUVBL1",13,12,1,0,1
"ZFYVE9",55,47,8,0,1
"CTTN",21,20,1,0,1
"LGALS3",9,7,2,0,1
"MEGF10",6,4,2,0,1
"VCAN",63,56,7,0,1
"NCF4",4,3,1,0,1
"TRIM23",34,30,4,0,1
"PAFAH1B1",86,80,6,0,1
"DAG1",33,29,4,0,1
"PIK3R3",55,49,6,0,1
"MCM7",42,36,6,0,1
"FLNA",60,48,12,0,1
"ZW10",8,7,1,0,1
"SNAPIN",31,26,5,0,1
"GIT1",26,23,3,0,1
"MAP4K2",27,22,5,0,1
"HSPD1",32,29,3,0,1
"ILF3",36,35,1,0,1
"DLEU1",24,22,2,0,1
"DLG1",49,24,25,0,1
"DLG3",28,18,10,0,1
"GRIN2B",65,61,4,0,1
"DLST",26,23,3,0,1
"DYNLL1",32,22,10,0,1
"NOS1",19,13,6,0,1
"MAGI2",33,28,5,0,1
"RPS10",19,16,3,0,1
"USP8",31,28,3,0,1
"SNAP25",45,43,2,0,1
"DOK2",12,9,3,0,1
"TAF9",20,13,7,0,1
"GNAZ",12,10,2,0,1
"DTNB",8,6,2,0,1
"DUSP23",11,6,5,0,1
"PNN",34,28,6,0,1
"PARD3",59,52,7,0,1
"MYO5A",68,66,2,0,1
"DYNLT3",12,8,4,0,1
"E2F6",294,35,259,0,1
"E2F2",93,82,11,0,1
"TFDP1",36,32,4,0,1
"E2F3",196,89,107,0,1
"KLHL20",27,22,5,0,1
"RHOG",25,21,4,0,1
"EDA",7,6,1,0,1
"FURIN",26,24,2,0,1
"GADD45G",22,13,9,0,1
"MED31",10,8,2,0,1
"EFNA1",41,38,3,0,1
"PRSS23",28,26,2,0,1
"HOMER1",45,35,10,0,1
"PTPN13",22,17,5,0,1
"PRKACA",35,20,15,0,1
"SNRPD2",19,11,8,0,1
"SOX10",18,5,13,0,1
"PPP2R5A",20,16,4,0,1
"EIF3F",25,21,4,0,1
"MVD",6,5,1,0,1
"GNB2L1",40,36,4,0,1
"GOLM1",15,12,3,0,1
"ID2",31,27,4,0,1
"ELN",21,20,1,0,1
"NMI",11,10,1,0,1
"TNFRSF1A",30,14,16,0,1
"PKP4",23,21,2,0,1
"FLI1",333,21,312,0,1
"PPARGC1A",66,65,1,0,1
"ESRRG",48,43,5,0,1
"ETF1",38,37,1,0,1
"PLCB3",16,13,3,0,1
"LSM2",11,6,5,0,1
"EXOSC4",16,6,10,0,1
"RAB27A",27,23,4,0,1
"EZR",34,28,6,0,1
"F10",8,5,3,0,1
"TJP1",57,46,11,0,1
"F2RL2",25,21,4,0,1
"RCC1",23,19,4,0,1
"RAP1A",65,51,14,0,1
"FCER1G",10,4,6,0,1
"ZAP70",30,3,27,0,1
"HTATSF1",10,8,2,0,1
