"cause","effect"
"ARRB2","MED8"
"ARRB2","RAF1"
"ASAH1","SETDB1"
"ASAP1","SH3KBP1"
"ASAP2","BIN1"
"ASAP2","SH3KBP1"
"ASB13","TRIP13"
"ASCC2","SNRPB"
"ASCC2","TBC1D17"
"ASCC3","TRIP4"
"ASF1A","H3F3A"
"ASGR1","DHFR"
"ASGR1","HSP90AA1"
"ASGR1","HSP90B1"
"ASGR2","ASGR1"
"ASIP","F11R"
"ATF1","CREB1"
"ATF1","CREBBP"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF1","SPI1"
"ATF2","AR"
"ATF2","ATF7"
"ATF2","CEBPA"
"ATF2","CEBPG"
"ATF2","CREB5"
"ATF2","GTF2F2"
"ATF2","HMGA1"
"ATF2","JDP2"
"ATF2","RB1"
"ATF2","SMAD3"
"ATF2","UBE2I"
"ATF2","UTF1"
"ATF3","JUN"
"ATF3","JUNB"
"ATF3","JUND"
"ATF4","BATF"
"ATF4","CEBPB"
"ATF4","DDIT3"
"ATF4","GPS2"
"ATF4","GTF2F2"
"ATF5","CDC34"
"ATF7IP","ACTB"
"ATF7IP","CEP250"
"ATF7IP","DISC1"
"ATF7IP","GTF2E2"
"ATF7IP","GTF2F1"
"ATF7IP","GTF2H1"
"ATF7IP","LAMA4"
"ATF7IP","LUC7L2"
"ATF7IP","PAPPA2"
"ATF7IP","PCDH1"
"ATF7IP","PEX6"
"ATF7IP","PIAS3"
"ATF7IP","POLR2C"
"ATF7IP","POLR2D"
"ATF7IP","POLR2G"
"ATF7IP","QRICH1"
"ATF7IP","RPS3A"
"ATF7IP","SDK1"
"ATF7IP","SENP3"
"ATF7IP","SETDB1"
"ATF7IP","SPTBN1"
"ATF7IP","SVEP1"
"ATF7IP","TTC3"
"ATG12","ATG3"
"ATG12","ATG7"
"ATG12","MDFI"
"ATG3","GABARAPL2"
"ATG7","MAP1LC3B"
"ATM","EIF4EBP1"
"ATM","H2AFX"
"ATM","MDC1"
"ATM","MDM2"
"ATM","MDM4"
"ATM","MRE11A"
"ATM","NBN"
"ATM","PRKDC"
"ATM","RAD17"
"ATM","RAD9A"
"ATM","RBBP8"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XRCC5"
"ATN1","AGRN"
"ATN1","ALG13"
"ATN1","CACNB1"
"ATN1","CBFA2T2"
"ATN1","CENPJ"
"ATN1","DMPK"
"ATN1","EFCAB4B"
"ATN1","EWSR1"
"ATN1","LYST"
"ATN1","MEGF6"
"ATN1","MEGF8"
"ATN1","PSMA3"
"ATN1","RAD54L2"
"ATN1","RBM10"
"ATN1","RNF31"
"ATN1","SUMO2"
"ATN1","SYVN1"
"ATN1","TEP1"
"ATN1","USP54"
"ATN1","ZMYND8"
"ATP1A1","CFL1"
"ATP2A2","BCL2"
"ATP2B1","CSE1L"
"ATP2B1","MBIP"
"ATP2B1","SEC31A"
"ATP2B4","RASSF1"
"ATP5A1","ATP5C1"
"ATP5B","ANXA7"
"ATP5B","ATP5C1"
"ATP5B","CDK4"
"ATP5B","PDPK1"
"ATP5B","PSME3"
"ATP5B","RPP14"
"ATP5B","SMN1"
"ATP5B","YWHAG"
"ATP5C1","MED15"
"ATP5C1","PJA1"
"ATP5J","MAPK6"
"ATP5J2","CCDC137"
"ATP5J2","HAP1"
"ATP5J2","ZFPL1"
"ATP6V0C","PDPK1"
"ATP6V1A","ANXA7"
"ATP6V1E1","ALDOA"
"ATP6V1E1","SOS1"
"ATP6V1E1","XRCC6"
"ATPIF1","GSK3B"
"ATR","CHD4"
"ATR","MSH2"
"ATR","NBN"
"ATR","TREX1"
"ATR","XPA"
"ATR","XRCC5"
"ATRX","HDAC4"
"ATXN1","ANKHD1"
"ATXN1","ANP32A"
"ATXN1","ATXN1L"
"ATXN1","ATXN2"
"ATXN1","CCNK"
"ATXN1","CDK6"
"ATXN1","DAZAP2"
"ATXN1","DCTN3"
"ATXN1","EIF4ENIF1"
"ATXN1","FAM46A"
"ATXN1","GSPT1"
"ATXN1","HPCAL1"
"ATXN1","IPO8"
"ATXN1","KLHL12"
"ATXN1","KLHL8"
"ATXN1","LDB1"
"ATXN1","MED15"
"ATXN1","POM121"
"ATXN1","PQBP1"
"ATXN1","PSMC3"
"ATXN1","PUM1"
"ATXN1","RAD54L2"
"ATXN1","SPEN"
"ATXN1","TBC1D5"
"ATXN1","TRIM32"
"ATXN1","UBE2I"
"ATXN1","USP7"
"ATXN1L","AES"
"ATXN1L","ANKHD1"
"ATXN1L","CBFA2T2"
"ATXN1L","CHD6"
"ATXN1L","COIL"
"ATXN1L","CTBP1"
"ATXN1L","FUS"
"ATXN1L","GORASP2"
"ATXN1L","RAD54L2"
"ATXN1L","TRIP11"
"ATXN2","ATXN1"
"ATXN2","TDRD7"
"ATXN2","ZNRD1"
"ATXN3","ANXA7"
"ATXN3","MKNK1"
"ATXN3","PSMD7"
"ATXN3","RAD23A"
"ATXN3","RAD23B"
"ATXN3","TK1"
"ATXN7","CRX"
"ATXN7","TP53BP2"
"AUP1","ITGA2B"
"AUP1","RNF11"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","NME1"
"AURKA","PPP1CA"
"AURKA","PPP1CC"
"AURKB","HIST1H3A"
"AURKB","TACC1"
"AVEN","SMURF1"
"AVPR1A","PRKCA"
"AVPR2","ARRB2"
"AVPR2","C1QTNF1"
"AVPR2","GRK5"
"AXIN1","ANP32A"
"AXIN1","APC"
"AXIN1","CRMP1"
"AXIN1","CSNK1A1"
"AXIN1","CSNK1E"
"AXIN1","CTNNB1"
"AXIN1","DAB2"
"AXIN1","DVL1"
"AXIN1","DVL2"
"AXIN1","GAK"
"AXIN1","GSK3B"
"AXIN1","JUP"
"AXIN1","PIAS1"
"AXIN1","PPP2CA"
"AXIN1","PPP2R5C"
"AXIN1","SENP2"
"AXIN1","SH3GL1"
"AXL","ADAM10"
"AXL","CBL"
"AXL","PIK3R3"
"B2M","CD1B"
"B2M","VCL"
"BACE1","APP"
"BACE1","CSNK1D"
"BACE1","PSEN1"
"BAD","BCL2L1"
"BAD","EWSR1"
"BAD","MAP2K5"
"BAD","MAPK8"
"BAD","PAK7"
"BAD","PPP1CA"
"BAD","RPS6KA1"
"BAD","SFN"
"BAD","WASF1"
"BAD","YWHAG"
"BAD","YWHAQ"
"BAG1","HSPA1A"
"BAG1","RB1"
"BAG3","DAZAP2"
"BAG3","HSPA1A"
"BAG4","BCL2"
"BAHD1","DVL3"
"BAI1","BAIAP2"
"BAI1","DLG4"
"BAIAP2","ATN1"
"BAIAP2","C14orf1"
"BAIAP2","CDC42"
"BAIAP2","DIAPH1"
"BAIAP2","NCKIPSD"
"BAIAP2","YWHAG"
"BAK1","ARHGDIA"
"BAK1","DBN1"
"BARD1","CHD3"
"BARD1","IKBKAP"
"BARD1","KBTBD7"
"BARD1","MDC1"
"BARD1","MSH2"
"BARD1","PIAS4"
"BARD1","POLR2A"
"BARD1","RBBP8"
"BARD1","SETDB1"
"BARD1","TCERG1"
"BAX","BAK1"
"BAX","BCL2"
"BAX","BCL2L1"
"BAX","BID"
"BAX","ERN1"
"BAX","MCL1"
"BAX","MOAP1"
"BAX","NOL3"
"BAX","SFN"
"BAX","SH3GLB1"
"BAX","VDAC1"
"BAX","YWHAQ"
"BBS10","FRZB"
"BBS10","MAP3K7"
"BBS10","MAPK6"
"BBS4","PCM1"
"BCAN","FBLN2"
"BCAP31","APP"
"BCAP31","CASP8"
"BCAP31","MYH10"
"BCAR1","CASP3"
"BCAR1","CD2AP"
"BCAR1","CSPG4"
"BCAR1","EFS"
"BCAR1","PKD1"
"BCAR1","PPP1R15A"
"BCAR1","TRIP6"
"BCCIP","FAM46A"
"BCL10","CARD11"
"BCL10","CARD9"
"BCL10","CHUK"
"BCL10","IKBKG"
"BCL10","MALT1"
"BCL10","MAP3K7"
"BCL10","PELI2"
"BCL10","RIPK2"
"BCL10","SOCS3"
"BCL10","UBE2N"
"BCL10","UBE2V2"
"BCL2","BID"
"BCL2","BNIP2"
"BCL2","CDK2"
"BCL2","MAPK1"
